Lk surface

Theta = 0.00286

Maximum at 4Ner(region) = 15.000 : Lk = -22167858593.897



4Ner(region)   Pairwise Lk

    0.00  -22699223570.963
    0.50  -22577948787.328
    1.00  -22479346561.802
    1.50  -22415369916.488
    2.00  -22369637454.204
    2.50  -22334342707.006
    3.00  -22306043324.581
    3.50  -22282798412.998
    4.00  -22263371165.332
    4.50  -22247052783.460
    5.00  -22233381145.920
    5.50  -22221926569.464
    6.00  -22212341900.389
    6.50  -22204351235.366
    7.00  -22197684086.701
    7.50  -22192123356.600
    8.00  -22187491270.644
    8.50  -22183634462.926
    9.00  -22180430275.281
    9.50  -22177779881.442
   10.00  -22175590436.065
   10.50  -22173784177.868
   11.00  -22172306350.003
   11.50  -22171107127.296
   12.00  -22170146096.866
   12.50  -22169392173.177
   13.00  -22168816648.646
   13.50  -22168395180.975
   14.00  -22168104344.031
   14.50  -22167930060.131
   15.00  -22167858593.897
   15.50  -22167877462.055
   16.00  -22167975641.894
   16.50  -22168148035.141
   17.00  -22168385030.200
   17.50  -22168680824.389
   18.00  -22169028671.053
   18.50  -22169423652.949
   19.00  -22169863078.385
   19.50  -22170342029.923
   20.00  -22170855038.718
   20.50  -22171399172.532
   21.00  -22171972077.372
   21.50  -22172571097.904
   22.00  -22173193790.588
   22.50  -22173837678.384
   23.00  -22174499797.726
   23.50  -22175177828.402
   24.00  -22175869885.768
   24.50  -22176574934.251
   25.00  -22177291127.210
   25.50  -22178016736.538
   26.00  -22178750504.123
   26.50  -22179491118.792
   27.00  -22180237185.242
   27.50  -22180987588.164
   28.00  -22181741377.805
   28.50  -22182497678.985
   29.00  -22183255611.245
   29.50  -22184014162.671
   30.00  -22184772877.088
   30.50  -22185531084.345
   31.00  -22186287923.913
   31.50  -22187043134.947
   32.00  -22187796592.128
   32.50  -22188547720.024
   33.00  -22189296157.512
   33.50  -22190041853.532
   34.00  -22190784463.278
   34.50  -22191523582.106
   35.00  -22192259103.825
   35.50  -22192990728.355
   36.00  -22193718469.091
   36.50  -22194442119.883
   37.00  -22195161526.383
   37.50  -22195876532.119
   38.00  -22196587075.263
   38.50  -22197292883.132
   39.00  -22197993908.992
   39.50  -22198690150.211
   40.00  -22199381717.258
   40.50  -22200068471.578
   41.00  -22200750302.038
   41.50  -22201427381.168
   42.00  -22202099796.283
   42.50  -22202767320.740
   43.00  -22203430260.070
   43.50  -22204088589.969
   44.00  -22204742177.788
   44.50  -22205391126.201
   45.00  -22206035499.774
   45.50  -22206675272.276
   46.00  -22207310528.555
   46.50  -22207941309.195
   47.00  -22208567810.891
   47.50  -22209189964.105
   48.00  -22209807828.769
   48.50  -22210421514.366
   49.00  -22211031020.125
   49.50  -22211636451.164
   50.00  -22212237843.321
   50.50  -22212835254.494
   51.00  -22213428696.385
   51.50  -22214018268.573
   52.00  -22214604035.611
   52.50  -22215186111.369
   53.00  -22215764535.395
   53.50  -22216339358.828
   54.00  -22216910622.257
   54.50  -22217478348.027
   55.00  -22218042600.877
   55.50  -22218603431.835
   56.00  -22219160885.536
   56.50  -22219715053.121
   57.00  -22220265987.171
   57.50  -22220813778.866
   58.00  -22221358477.813
   58.50  -22221900116.231
   59.00  -22222438757.333
   59.50  -22222974471.883
   60.00  -22223507292.981
   60.50  -22224037299.197
   61.00  -22224564542.661
   61.50  -22225089101.373
   62.00  -22225611040.459
   62.50  -22226130412.318
   63.00  -22226647215.844
   63.50  -22227161539.285
   64.00  -22227673414.105
   64.50  -22228182835.963
   65.00  -22228689847.992
   65.50  -22229194548.635
   66.00  -22229696965.821
   66.50  -22230197162.426
   67.00  -22230695183.928
   67.50  -22231191053.484
   68.00  -22231684791.567
   68.50  -22232176439.020
   69.00  -22232666016.453
   69.50  -22233153591.513
   70.00  -22233639229.676
   70.50  -22234122936.623
   71.00  -22234604743.292
   71.50  -22235084703.099
   72.00  -22235562812.376
   72.50  -22236039127.151
   73.00  -22236513664.254
   73.50  -22236986416.662
   74.00  -22237457445.879
   74.50  -22237926794.100
   75.00  -22238394479.046
   75.50  -22238860521.347
   76.00  -22239324909.727
   76.50  -22239787668.078
   77.00  -22240248855.026
   77.50  -22240708477.436
   78.00  -22241166531.571
   78.50  -22241623071.106
   79.00  -22242078097.196
   79.50  -22242531622.261
   80.00  -22242983687.759
   80.50  -22243434310.699
   81.00  -22243883490.091
   81.50  -22244331247.738
   82.00  -22244777625.452
   82.50  -22245222609.916
   83.00  -22245666219.072
   83.50  -22246108455.964
   84.00  -22246549341.687
   84.50  -22246988917.304
   85.00  -22247427166.237
   85.50  -22247864108.150
   86.00  -22248299759.013
   86.50  -22248734121.568
   87.00  -22249167206.571
   87.50  -22249598996.362
   88.00  -22250029506.508
   88.50  -22250458746.047
   89.00  -22250886733.101
   89.50  -22251313483.474
   90.00  -22251739014.869
   90.50  -22252163325.241
   91.00  -22252586403.014
   91.50  -22253008260.471
   92.00  -22253428917.234
   92.50  -22253848387.278
   93.00  -22254266675.108
   93.50  -22254683772.582
   94.00  -22255099711.685
   94.50  -22255514494.478
   95.00  -22255928131.597
   95.50  -22256340598.715
   96.00  -22256751894.423
   96.50  -22257162030.833
   97.00  -22257571015.192
   97.50  -22257978855.410
   98.00  -22258385551.992
   98.50  -22258791102.569
   99.00  -22259195515.439
   99.50  -22259598799.390
  100.00  -22260000954.412
