Lk surface

Theta = 0.00175

Maximum at 4Ner(region) = 2.000 : Lk = -458746698.722



4Ner(region)   Pairwise Lk

    0.00  -459266125.778
    0.50  -459026176.578
    1.00  -458847208.268
    1.50  -458769946.688
    2.00  -458746698.722
    2.50  -458746733.637
    3.00  -458758879.103
    3.50  -458778779.108
    4.00  -458803868.686
    4.50  -458832609.929
    5.00  -458864072.542
    5.50  -458897700.752
    6.00  -458933091.122
    6.50  -458969870.246
    7.00  -459007661.760
    7.50  -459046162.289
    8.00  -459085078.414
    8.50  -459124213.935
    9.00  -459163454.960
    9.50  -459202718.841
   10.00  -459241956.480
   10.50  -459281162.816
   11.00  -459320333.934
   11.50  -459359451.306
   12.00  -459398522.267
   12.50  -459437533.327
   13.00  -459476486.636
   13.50  -459515377.814
   14.00  -459554206.645
   14.50  -459592967.182
   15.00  -459631654.642
   15.50  -459670265.607
   16.00  -459708786.690
   16.50  -459747211.974
   17.00  -459785527.451
   17.50  -459823714.434
   18.00  -459861753.237
   18.50  -459899625.362
   19.00  -459937311.273
   19.50  -459974791.950
   20.00  -460012047.655
   20.50  -460049063.056
   21.00  -460085828.669
   21.50  -460122329.048
   22.00  -460158557.629
   22.50  -460194512.924
   23.00  -460230189.818
   23.50  -460265588.210
   24.00  -460300714.546
   24.50  -460335572.665
   25.00  -460370171.415
   25.50  -460404516.339
   26.00  -460438617.948
   26.50  -460472487.941
   27.00  -460506135.980
   27.50  -460539569.460
   28.00  -460572797.443
   28.50  -460605828.412
   29.00  -460638671.794
   29.50  -460671333.795
   30.00  -460703821.311
   30.50  -460736139.555
   31.00  -460768293.888
   31.50  -460800286.695
   32.00  -460832121.666
   32.50  -460863802.014
   33.00  -460895329.677
   33.50  -460926705.069
   34.00  -460957929.653
   34.50  -460989002.932
   35.00  -461019925.580
   35.50  -461050697.121
   36.00  -461081318.285
   36.50  -461111789.223
   37.00  -461142109.033
   37.50  -461172276.446
   38.00  -461202291.227
   38.50  -461232154.756
   39.00  -461261865.936
   39.50  -461291424.715
   40.00  -461320832.536
   40.50  -461350088.753
   41.00  -461379193.445
   41.50  -461408148.845
   42.00  -461436955.320
   42.50  -461465613.617
   43.00  -461494125.622
   43.50  -461522492.139
   44.00  -461550714.189
   44.50  -461578793.615
   45.00  -461606732.388
   45.50  -461634532.001
   46.00  -461662194.153
   46.50  -461689721.460
   47.00  -461717115.062
   47.50  -461744376.349
   48.00  -461771506.850
   48.50  -461798507.763
   49.00  -461825381.071
   49.50  -461852128.231
   50.00  -461878750.935
   50.50  -461905250.702
   51.00  -461931628.813
   51.50  -461957886.728
   52.00  -461984025.380
   52.50  -462010045.512
   53.00  -462035948.270
   53.50  -462061735.314
   54.00  -462087407.315
   54.50  -462112965.411
   55.00  -462138410.980
   55.50  -462163744.463
   56.00  -462188966.569
   56.50  -462214078.805
   57.00  -462239081.683
   57.50  -462263976.191
   58.00  -462288763.287
   58.50  -462313444.215
   59.00  -462338019.476
   59.50  -462362489.844
   60.00  -462386856.110
   60.50  -462411118.735
   61.00  -462435279.124
   61.50  -462459338.124
   62.00  -462483296.567
   62.50  -462507155.465
   63.00  -462530915.422
   63.50  -462554577.453
   64.00  -462578142.359
   64.50  -462601611.334
   65.00  -462624985.693
   65.50  -462648265.569
   66.00  -462671452.026
   66.50  -462694545.948
   67.00  -462717548.314
   67.50  -462740459.891
   68.00  -462763281.460
   68.50  -462786014.250
   69.00  -462808658.887
   69.50  -462831215.912
   70.00  -462853686.816
   70.50  -462876072.449
   71.00  -462898373.348
   71.50  -462920590.511
   72.00  -462942724.498
   72.50  -462964776.146
   73.00  -462986746.143
   73.50  -463008635.445
   74.00  -463030444.549
   74.50  -463052174.098
   75.00  -463073825.287
   75.50  -463095398.346
   76.00  -463116894.386
   76.50  -463138314.020
   77.00  -463159657.434
   77.50  -463180925.655
   78.00  -463202119.101
   78.50  -463223238.539
   79.00  -463244284.559
   79.50  -463265257.845
   80.00  -463286159.104
   80.50  -463306988.866
   81.00  -463327747.349
   81.50  -463348435.442
   82.00  -463369053.546
   82.50  -463389602.589
   83.00  -463410082.907
   83.50  -463430494.993
   84.00  -463450839.485
   84.50  -463471117.176
   85.00  -463491328.803
   85.50  -463511474.525
   86.00  -463531554.654
   86.50  -463551570.011
   87.00  -463571520.860
   87.50  -463591407.934
   88.00  -463611231.608
   88.50  -463630992.164
   89.00  -463650690.329
   89.50  -463670326.586
   90.00  -463689901.273
   90.50  -463709414.863
   91.00  -463728868.051
   91.50  -463748261.264
   92.00  -463767594.782
   92.50  -463786868.856
   93.00  -463806083.984
   93.50  -463825240.424
   94.00  -463844338.894
   94.50  -463863379.723
   95.00  -463882363.378
   95.50  -463901290.230
   96.00  -463920160.608
   96.50  -463938974.867
   97.00  -463957733.276
   97.50  -463976436.286
   98.00  -463995084.167
   98.50  -464013677.268
   99.00  -464032215.866
   99.50  -464050700.549
  100.00  -464069131.237
