lk,rho,theta_perSite,theta,mu,model_recomb,pw_recomb,pw_to_model_ratio
-988375338.633,1.0,0.0025,1033.9675,6e-08,7.2e-11,5.8028903229550245e-11,0.805956989299309
-751417734.147,0.0,0.00215,889.21205,6e-08,7.2e-11,0.0,0.0
-853015580.01,1.0,0.00224,926.4348799999999,6e-08,7.2e-11,6.476440092583733e-11,0.8995055684144074
-461451215.693,2.5,0.00179,740.3207299999999,6e-08,7.2e-11,2.0261488557803858e-10,2.814095633028314
-1264056076.008,1.0,0.00257,1062.91859,6e-08,7.2e-11,5.6448349445087786e-11,0.7840048534039971
-514204848.505,1.0,0.00192,794.08704,6e-08,7.2e-11,7.555846774681022e-11,1.0494231631501418
-852760779.944,2.0,0.00225,930.57075,6e-08,7.2e-11,1.2895311828788944e-10,1.7910155317762424
-1583601923.68,1.5,0.00281,1162.17947,6e-08,7.2e-11,7.74407071568731e-11,1.0755653771787932
-887779464.157,1.5,0.00231,955.38597,6e-08,7.2e-11,9.420276498303611e-11,1.3083717358755016
-1801803157.072,0.0,0.00387,1600.58169,6e-08,7.2e-11,0.0,0.0
-1467038725.314,0.5,0.00285,1178.72295,6e-08,7.2e-11,2.5451273346293966e-11,0.3534899075874162
-1435153157.383,2.0,0.00291,1203.53817,6e-08,7.2e-11,9.970601929475986e-11,1.3848058235383314
-1167303269.487,2.5,0.00261,1079.46207,6e-08,7.2e-11,1.3895810160332914e-10,1.9299736333795714
-481512493.804,0.0,0.00174,719.64138,6e-08,7.2e-11,0.0,0.0
-449978670.817,1.0,0.00185,765.13595,6e-08,7.2e-11,7.841743679668951e-11,1.0891310666206877
-1405688578.983,0.0,0.00275,1137.3642499999999,6e-08,7.2e-11,0.0,0.0
-1527562435.127,0.0,0.00294,1215.94578,6e-08,7.2e-11,0.0,0.0
-1648897021.897,2.5,0.00293,1211.80991,6e-08,7.2e-11,1.2378179016542288e-10,1.719191530075318
-2313453464.821,3.5,0.00354,1464.09798,6e-08,7.2e-11,1.4343302351936854e-10,1.9921253266578964
-1186832546.906,0.0,0.00304,1257.30448,6e-08,7.2e-11,0.0,0.0
-987635811.875,2.5,0.00239,988.4729300000001,6e-08,7.2e-11,1.5174922392664812e-10,2.107628110092335
-458746698.722,2.0,0.00175,723.77725,6e-08,7.2e-11,1.6579686637014357e-10,2.302734255140883
-1342116870.986,2.0,0.00277,1145.63599,6e-08,7.2e-11,1.0474531268871886e-10,1.4547960095655397
-780950437.783,2.0,0.00218,901.6196600000001,6e-08,7.2e-11,1.3309381474667487e-10,1.8485252048149288
-1159256951.462,3.5,0.00249,1029.83163,6e-08,7.2e-11,2.0391682861789746e-10,2.832178175248576
-593216121.497,1.0,0.00211,872.6685699999999,6e-08,7.2e-11,6.87546246795619e-11,0.954925342771693
-1929786862.725,4.5,0.00348,1439.28276,6e-08,7.2e-11,1.8759343716449433e-10,2.6054644050624214
-1197217132.613,1.0,0.00271,1120.82077,6e-08,7.2e-11,5.353219855124562e-11,0.7435027576561891
-995594700.906,0.0,0.00256,1058.7827200000002,6e-08,7.2e-11,0.0,0.0
-494432005.685,0.0,0.00209,864.3968299999999,6e-08,7.2e-11,0.0,0.0
-486417329.897,3.5,0.00188,777.54356,6e-08,7.2e-11,2.700813315205131e-10,3.751129604451571
-833186352.994,0.0,0.00218,901.6196600000001,6e-08,7.2e-11,0.0,0.0
-505113906.083,0.0,0.0018,744.4566,6e-08,7.2e-11,0.0,0.0
-810234647.735,0.0,0.00259,1071.19033,6e-08,7.2e-11,0.0,0.0
-792552056.519,1.5,0.00206,851.98922,6e-08,7.2e-11,1.0563513937418127e-10,1.4671547135302954
-752159527.015,2.5,0.00207,856.1250899999999,6e-08,7.2e-11,1.7520804115202373e-10,2.43344501600033
-1486939012.609,1.0,0.00281,1162.17947,6e-08,7.2e-11,5.162713810458207e-11,0.717043584785862
-554181861.412,3.5,0.002,827.174,6e-08,7.2e-11,2.538764516292823e-10,3.526061828184477
-589616740.925,0.0,0.00194,802.35878,6e-08,7.2e-11,0.0,0.0
-1403053473.98,1.5,0.00286,1182.8588200000002,6e-08,7.2e-11,7.608684864014455e-11,1.0567617866686743
-773494991.257,0.0,0.00211,872.6685699999999,6e-08,7.2e-11,0.0,0.0
-851193201.852,3.0,0.00235,971.9294500000001,6e-08,7.2e-11,1.8519862732835183e-10,2.57220315733822
-796656123.953,1.5,0.00233,963.6577100000001,6e-08,7.2e-11,9.339415755828903e-11,1.2971410771984588
-845057725.166,2.0,0.00241,996.7446699999999,6e-08,7.2e-11,1.2039191541400466e-10,1.6721099363056202
-508819764.024,0.0,0.00211,872.6685699999999,6e-08,7.2e-11,0.0,0.0
-583847280.483,2.0,0.00213,880.94031,6e-08,7.2e-11,1.3621808269847476e-10,1.891917815256594
-1567697562.644,1.5,0.00296,1224.21752,6e-08,7.2e-11,7.351634699689644e-11,1.0210603749568952
-844949777.468,2.0,0.00241,996.7446699999999,6e-08,7.2e-11,1.2039191541400466e-10,1.6721099363056202
-824089123.94,0.0,0.0022,909.8914000000001,6e-08,7.2e-11,0.0,0.0
-1267679964.584,1.0,0.00274,1133.22838,6e-08,7.2e-11,5.29460795890057e-11,0.735362216513968
-1882060229.184,4.5,0.00317,1311.07079,6e-08,7.2e-11,2.059385366979307e-10,2.860257454137926
-836734572.627,1.5,0.00242,1000.8805399999999,6e-08,7.2e-11,8.992082112017085e-11,1.2489002933357063
-566842707.928,2.0,0.00192,794.08704,6e-08,7.2e-11,1.5111693549362043e-10,2.0988463263002837
-1780112655.814,4.5,0.00301,1244.89687,6e-08,7.2e-11,2.1688543565861803e-10,3.012297717480806
-167186668.354,0.0,0.00115,475.62505,6e-08,7.2e-11,0.0,0.0
-1647046869.917,1.0,0.00305,1261.44035,6e-08,7.2e-11,4.756467477831987e-11,0.6606204830322205
-914058545.782,1.0,0.00223,922.2990100000001,6e-08,7.2e-11,6.505482424837471e-11,0.903539225671871
-545757599.489,1.5,0.00196,810.6305199999999,6e-08,7.2e-11,1.1102468730143544e-10,1.54200954585327
-1569144957.988,0.0,0.00304,1257.30448,6e-08,7.2e-11,0.0,0.0
-801530185.784,0.0,0.00216,893.34792,6e-08,7.2e-11,0.0,0.0
-612356644.86,0.0,0.00208,860.26096,6e-08,7.2e-11,0.0,0.0
-648616182.429,1.5,0.0022,909.8914000000001,6e-08,7.2e-11,9.891290323218792e-11,1.3737903226692767
-1004463322.361,1.0,0.00242,1000.8805399999999,6e-08,7.2e-11,5.99472140801139e-11,0.8326001955571375
-358194163.707,1.5,0.00158,653.46746,6e-08,7.2e-11,1.3772682728532495e-10,1.9128726011850687
-568786376.265,2.5,0.00203,839.5816100000001,6e-08,7.2e-11,1.7866041634713745e-10,2.48139467148802
-1086787335.085,2.0,0.00278,1149.77186,6e-08,7.2e-11,1.0436853098839972e-10,1.4495629303944406
-1401665156.736,5.0,0.00269,1112.5490300000001,6e-08,7.2e-11,2.696510373120364e-10,3.7451532960005056
-550937014.323,0.0,0.00189,781.67943,6e-08,7.2e-11,0.0,0.0
-729403858.28,1.0,0.00227,938.84249,6e-08,7.2e-11,6.390848373298485e-11,0.8876178296247896
-1212465804.699,2.5,0.00274,1133.22838,6e-08,7.2e-11,1.3236519897251424e-10,1.83840554128492
-520455812.897,2.5,0.00183,756.86421,6e-08,7.2e-11,1.9818614490966617e-10,2.752585345967586
-389552106.315,3.0,0.00162,670.01094,6e-08,7.2e-11,2.6865232976643634e-10,3.7312823578671717
-876277907.758,2.0,0.00236,976.06532,6e-08,7.2e-11,1.2294259158803018e-10,1.707535994278197
-1162022092.851,2.5,0.00256,1058.7827200000002,6e-08,7.2e-11,1.4167212702526913e-10,1.9676684309065158
-340084109.705,1.0,0.00159,657.60333,6e-08,7.2e-11,9.124041388294064e-11,1.2672279705963978
-1045062747.481,1.5,0.00243,1005.01641,6e-08,7.2e-11,8.955077658881212e-11,1.2437607859557238
-701650738.333,2.0,0.00226,934.7066199999999,6e-08,7.2e-11,1.283825292689165e-10,1.783090684290507
-931022763.092,0.0,0.0023,951.2501,6e-08,7.2e-11,0.0,0.0
-942466249.532,2.5,0.00237,980.2011900000001,6e-08,7.2e-11,1.5302980809480548e-10,2.125414001316743
-564953398.421,0.0,0.00182,752.72834,6e-08,7.2e-11,0.0,0.0
-599407835.567,2.5,0.002,827.174,6e-08,7.2e-11,1.813403225923445e-10,2.5186155915603403
-743759073.514,0.0,0.00231,955.38597,6e-08,7.2e-11,0.0,0.0
-814965765.929,2.0,0.00228,942.97836,6e-08,7.2e-11,1.2725636673146984e-10,1.7674495379370811
-1740616848.423,1.0,0.00303,1253.1686100000002,6e-08,7.2e-11,4.7878633027681715e-11,0.6649810142733572
-767557670.442,0.0,0.00214,885.07618,6e-08,7.2e-11,0.0,0.0
-488660475.673,1.5,0.00179,740.3207299999999,6e-08,7.2e-11,1.2156893134682314e-10,1.6884573798169882
-2283968770.004,2.0,0.00352,1455.82624,6e-08,7.2e-11,8.242741936015659e-11,1.1448252688910638
-1246934950.884,0.0,0.00261,1079.46207,6e-08,7.2e-11,0.0,0.0
-836442034.629,1.0,0.00234,967.79358,6e-08,7.2e-11,6.199669148456224e-11,0.8610651595078089
-826685267.344,1.0,0.00245,1013.28815,6e-08,7.2e-11,5.921316656076555e-11,0.8224050911217438
-617308827.705,3.0,0.00193,798.2229100000001,6e-08,7.2e-11,2.25500919285817e-10,3.131957212303014
-428536860.626,4.5,0.00188,777.54356,6e-08,7.2e-11,3.4724742624065974e-10,4.822880920009164
-846455797.874,0.5,0.00235,971.9294500000001,6e-08,7.2e-11,3.086643788805864e-11,0.42870052622303667
-1837898615.287,3.0,0.00309,1277.98383,6e-08,7.2e-11,1.4084685249890838e-10,1.956206284707061
-1206838961.565,2.5,0.00258,1067.0544599999998,6e-08,7.2e-11,1.405738934824376e-10,1.952415187256078
-2432464881.127,2.0,0.00365,1509.59255,6e-08,7.2e-11,7.949164825965786e-11,1.104050670273026
-680947050.438,0.0,0.00201,831.30987,6e-08,7.2e-11,0.0,0.0
-469275039.089,1.0,0.00186,769.27182,6e-08,7.2e-11,7.799583767412667e-11,1.0832755232517592
-798445517.23,2.0,0.00229,947.11423,6e-08,7.2e-11,1.2670066207325382e-10,1.7597314176840808
-2380670736.403,1.0,0.00361,1493.04907,6e-08,7.2e-11,4.0186221073095736e-11,0.5581419593485519
