Lk surface

Theta = 0.00242

Maximum at 4Ner(region) = 2.000 : Lk = -968130194.513



4Ner(region)   Pairwise Lk

    0.00  -969019436.508
    0.50  -968555913.058
    1.00  -968247749.822
    1.50  -968144326.794
    2.00  -968130194.513
    2.50  -968162909.608
    3.00  -968224034.278
    3.50  -968303695.626
    4.00  -968396521.232
    4.50  -968499279.740
    5.00  -968609406.508
    5.50  -968724779.481
    6.00  -968843637.280
    6.50  -968964575.494
    7.00  -969086580.937
    7.50  -969208943.718
    8.00  -969331224.123
    8.50  -969453135.541
    9.00  -969574501.935
    9.50  -969695229.327
   10.00  -969815254.901
   10.50  -969934518.253
   11.00  -970052978.989
   11.50  -970170581.911
   12.00  -970287283.562
   12.50  -970403048.932
   13.00  -970517841.952
   13.50  -970631643.183
   14.00  -970744438.733
   14.50  -970856232.898
   15.00  -970967049.100
   15.50  -971076900.539
   16.00  -971185817.370
   16.50  -971293829.713
   17.00  -971400960.179
   17.50  -971507236.740
   18.00  -971612679.828
   18.50  -971717313.133
   19.00  -971821153.209
   19.50  -971924204.236
   20.00  -972026480.092
   20.50  -972127987.783
   21.00  -972228733.271
   21.50  -972328722.515
   22.00  -972427959.992
   22.50  -972526454.436
   23.00  -972624211.202
   23.50  -972721237.613
   24.00  -972817542.048
   24.50  -972913134.609
   25.00  -973008022.437
   25.50  -973102214.852
   26.00  -973195719.660
   26.50  -973288546.873
   27.00  -973380710.057
   27.50  -973472217.427
   28.00  -973563079.760
   28.50  -973653307.908
   29.00  -973742913.869
   29.50  -973831908.652
   30.00  -973920304.738
   30.50  -974008113.480
   31.00  -974095344.369
   31.50  -974182010.459
   32.00  -974268123.596
   32.50  -974353692.391
   33.00  -974438727.588
   33.50  -974523239.028
   34.00  -974607236.619
   34.50  -974690729.923
   35.00  -974773727.809
   35.50  -974856238.396
   36.00  -974938268.050
   36.50  -975019823.996
   37.00  -975100913.818
   37.50  -975181543.528
   38.00  -975261718.751
   38.50  -975341445.182
   39.00  -975420727.884
   39.50  -975499573.832
   40.00  -975577987.249
   40.50  -975655972.819
   41.00  -975733535.634
   41.50  -975810680.560
   42.00  -975887411.635
   42.50  -975963733.836
   43.00  -976039652.181
   43.50  -976115169.926
   44.00  -976190293.021
   44.50  -976265027.439
   45.00  -976339376.612
   45.50  -976413343.706
   46.00  -976486933.997
   46.50  -976560151.974
   47.00  -976633001.624
   47.50  -976705488.048
   48.00  -976777615.470
   48.50  -976849387.175
   49.00  -976920807.771
   49.50  -976991882.155
   50.00  -977062613.986
   50.50  -977133008.061
   51.00  -977203069.005
   51.50  -977272799.790
   52.00  -977342204.105
   52.50  -977411285.731
   53.00  -977480048.533
   53.50  -977548496.203
   54.00  -977616633.692
   54.50  -977684463.327
   55.00  -977751988.890
   55.50  -977819214.737
   56.00  -977886143.961
   56.50  -977952779.115
   57.00  -978019123.834
   57.50  -978085182.298
   58.00  -978150957.248
   58.50  -978216451.390
   59.00  -978281668.091
   59.50  -978346611.451
   60.00  -978411283.451
   60.50  -978475687.704
   61.00  -978539826.888
   61.50  -978603702.964
   62.00  -978667319.191
   62.50  -978730678.257
   63.00  -978793782.928
   63.50  -978856635.612
   64.00  -978919239.155
   64.50  -978981595.492
   65.00  -979043706.742
   65.50  -979105575.188
   66.00  -979167203.042
   66.50  -979228593.135
   67.00  -979289746.835
   67.50  -979350666.778
   68.00  -979411354.265
   68.50  -979471811.546
   69.00  -979532040.770
   69.50  -979592044.055
   70.00  -979651822.778
   70.50  -979711378.762
   71.00  -979770713.669
   71.50  -979829829.536
   72.00  -979888727.501
   72.50  -979947410.001
   73.00  -980005878.399
   73.50  -980064133.582
   74.00  -980122177.876
   74.50  -980180012.434
   75.00  -980237638.964
   75.50  -980295058.752
   76.00  -980352273.537
   76.50  -980409284.599
   77.00  -980466093.507
   77.50  -980522701.842
   78.00  -980579110.759
   78.50  -980635321.437
   79.00  -980691335.514
   79.50  -980747154.318
   80.00  -980802779.452
   80.50  -980858212.150
   81.00  -980913453.046
   81.50  -980968504.288
   82.00  -981023366.938
   82.50  -981078042.333
   83.00  -981132531.998
   83.50  -981186836.620
   84.00  -981240957.918
   84.50  -981294897.214
   85.00  -981348655.510
   85.50  -981402234.440
   86.00  -981455634.700
   86.50  -981508857.952
   87.00  -981561905.352
   87.50  -981614778.446
   88.00  -981667478.243
   88.50  -981720005.952
   89.00  -981772362.699
   89.50  -981824549.952
   90.00  -981876568.464
   90.50  -981928419.316
   91.00  -981980103.913
   91.50  -982031623.588
   92.00  -982082979.321
   92.50  -982134172.323
   93.00  -982185203.783
   93.50  -982236074.933
   94.00  -982286786.774
   94.50  -982337340.639
   95.00  -982387737.486
   95.50  -982437978.299
   96.00  -982488064.248
   96.50  -982537996.548
   97.00  -982587776.162
   97.50  -982637404.359
   98.00  -982686882.118
   98.50  -982736210.650
   99.00  -982785390.509
   99.50  -982834422.991
  100.00  -982883309.337
