lk,rho,theta_perSite,theta,mu,model_recomb,pw_recomb,pw_to_model_ratio
-1253830960.386,0.0,0.0027,1116.6849,6e-08,7.2e-11,0.0,0.0
-281659285.026,1.5,0.00143,591.4294100000001,6e-08,7.2e-11,1.521736972802891e-10,2.1135235733373485
-927387319.42,4.0,0.0025,1033.9675,6e-08,7.2e-11,2.3211561291820098e-10,3.223827957197236
-1062541873.35,0.0,0.00275,1137.3642499999999,6e-08,7.2e-11,0.0,0.0
-667155320.23,0.0,0.00208,860.26096,6e-08,7.2e-11,0.0,0.0
-921931291.886,1.0,0.0023,951.2501,6e-08,7.2e-11,6.307489481472854e-11,0.8760402057601185
-308059691.931,0.0,0.00155,641.05985,6e-08,7.2e-11,0.0,0.0
-842004908.265,2.0,0.00219,905.75553,6e-08,7.2e-11,1.324860804327631e-10,1.840084450455043
-642567090.175,2.0,0.00193,798.2229100000001,6e-08,7.2e-11,1.5033394619054465e-10,2.087971474868676
-845815256.495,2.0,0.00236,976.06532,6e-08,7.2e-11,1.2294259158803018e-10,1.707535994278197
-773338487.647,0.0,0.00222,918.1631400000001,6e-08,7.2e-11,0.0,0.0
-266014586.832,4.5,0.00142,587.29354,6e-08,7.2e-11,4.597360291073523e-10,6.385222626491005
-716707144.253,2.0,0.00203,839.5816100000001,6e-08,7.2e-11,1.4292833307770995e-10,1.985115737190416
-586658274.68,1.0,0.00215,889.21205,6e-08,7.2e-11,6.747546887157005e-11,0.9371592898829174
-403054955.352,3.0,0.0019,785.8153,6e-08,7.2e-11,2.2906146011664573e-10,3.1814091682867462
-504221017.228,0.5,0.00192,794.08704,6e-08,7.2e-11,3.777923387340511e-11,0.5247115815750709
-618053470.044,1.0,0.00193,798.2229100000001,6e-08,7.2e-11,7.516697309527232e-11,1.043985737434338
-530345713.159,1.0,0.00208,860.26096,6e-08,7.2e-11,6.974627792013251e-11,0.9686983044462849
-1787557857.718,2.0,0.0031,1282.1197,6e-08,7.2e-11,9.359500520895201e-11,1.2999306279021112
-1145196888.294,1.5,0.0025,1033.9675,6e-08,7.2e-11,8.704335484432537e-11,1.2089354839489634
-1396486539.715,0.0,0.00276,1141.50012,6e-08,7.2e-11,0.0,0.0
-277265594.544,1.0,0.00137,566.61419,6e-08,7.2e-11,1.058921591780114e-10,1.470724433027936
-470810769.723,0.0,0.00173,715.50551,6e-08,7.2e-11,0.0,0.0
-1806409426.639,1.5,0.00323,1335.88601,6e-08,7.2e-11,6.737101768136639e-11,0.9357085789078665
-799363195.557,0.0,0.00221,914.02727,6e-08,7.2e-11,0.0,0.0
-699483672.301,3.0,0.00214,885.07618,6e-08,7.2e-11,2.0337232440262938e-10,2.824615616703186
-1175412397.583,0.0,0.00278,1149.77186,6e-08,7.2e-11,0.0,0.0
-412695034.694,2.0,0.00173,715.50551,6e-08,7.2e-11,1.6771359314898917e-10,2.3293554604026276
-804206921.111,1.5,0.00223,922.2990100000001,6e-08,7.2e-11,9.758223637256207e-11,1.3553088385078065
-459993072.203,4.0,0.00169,698.96203,6e-08,7.2e-11,3.4336629129911387e-10,4.768976268043248
-656242153.168,0.5,0.00199,823.03813,6e-08,7.2e-11,3.645031609896372e-11,0.506254390263385
-641231792.648,2.0,0.00219,905.75553,6e-08,7.2e-11,1.324860804327631e-10,1.840084450455043
-173377654.458,0.0,0.00115,475.62505,6e-08,7.2e-11,0.0,0.0
-968130194.513,2.0,0.00242,1000.8805399999999,6e-08,7.2e-11,1.198944281602278e-10,1.665200391114275
-234376744.504,0.0,0.00137,566.61419,6e-08,7.2e-11,0.0,0.0
-1666465362.135,1.0,0.00317,1311.07079,6e-08,7.2e-11,4.576411926620682e-11,0.6356127675862058
-762500630.67,2.5,0.00214,885.07618,6e-08,7.2e-11,1.6947693700219113e-10,2.3538463472526545
-730093133.031,4.0,0.00211,872.6685699999999,6e-08,7.2e-11,2.750184987182476e-10,3.819701371086772
-506051222.475,0.0,0.0018,744.4566,6e-08,7.2e-11,0.0,0.0
-572006616.344,2.5,0.0019,785.8153,6e-08,7.2e-11,1.9088455009720475e-10,2.6511743069056215
-493928001.359,1.5,0.00174,719.64138,6e-08,7.2e-11,1.250622914429962e-10,1.736976270041614
-1307158072.987,1.0,0.00262,1083.5979399999999,6e-08,7.2e-11,5.5371090867891464e-11,0.7690429287207148
-774170216.697,4.5,0.00239,988.4729300000001,6e-08,7.2e-11,2.731486030679666e-10,3.7937305981662033
-969879807.184,0.0,0.00267,1104.27729,6e-08,7.2e-11,0.0,0.0
-1741744421.867,0.0,0.00307,1269.71209,6e-08,7.2e-11,0.0,0.0
-587511082.887,2.0,0.00195,806.49465,6e-08,7.2e-11,1.4879205956294934e-10,2.066556382818741
-463848036.331,0.0,0.00171,707.2337699999999,6e-08,7.2e-11,0.0,0.0
-882909937.467,1.0,0.00241,996.7446699999999,6e-08,7.2e-11,6.019595770700233e-11,0.8360549681528101
-444234895.079,1.0,0.00181,748.5924699999999,6e-08,7.2e-11,8.015041882534565e-11,1.1132002614631342
-583346188.831,0.0,0.00192,794.08704,6e-08,7.2e-11,0.0,0.0
