Lk surface

Theta = 0.00055

Maximum at 4Ner(region) = 0.000 : Lk = -21869670.446



4Ner(region)   Pairwise Lk

    0.00  -21869670.446
    0.50  -21888370.152
    1.00  -21899137.347
    1.50  -21899914.571
    2.00  -21899638.495
    2.50  -21899572.330
    3.00  -21899536.905
    3.50  -21899437.952
    4.00  -21899258.500
    4.50  -21899024.326
    5.00  -21898772.222
    5.50  -21898534.069
    6.00  -21898332.305
    6.50  -21898183.615
    7.00  -21898098.453
    7.50  -21898074.216
    8.00  -21898106.086
    8.50  -21898180.824
    9.00  -21898281.731
    9.50  -21898394.361
   10.00  -21898504.219
   10.50  -21898602.358
   11.00  -21898684.519
   11.50  -21898745.207
   12.00  -21898782.816
   12.50  -21898797.466
   13.00  -21898790.059
   13.50  -21898759.800
   14.00  -21898708.447
   14.50  -21898638.560
   15.00  -21898552.531
   15.50  -21898453.422
   16.00  -21898344.505
   16.50  -21898230.177
   17.00  -21898113.559
   17.50  -21897998.310
   18.00  -21897887.041
   18.50  -21897783.555
   19.00  -21897689.413
   19.50  -21897606.441
   20.00  -21897536.616
   20.50  -21897480.543
   21.00  -21897438.143
   21.50  -21897409.457
   22.00  -21897394.497
   22.50  -21897392.906
   23.00  -21897403.917
   23.50  -21897426.770
   24.00  -21897460.306
   24.50  -21897503.478
   25.00  -21897555.040
   25.50  -21897614.027
   26.00  -21897679.490
   26.50  -21897750.281
   27.00  -21897825.054
   27.50  -21897902.801
   28.00  -21897982.556
   28.50  -21898063.498
   29.00  -21898144.872
   29.50  -21898226.130
   30.00  -21898306.674
   30.50  -21898385.860
   31.00  -21898463.351
   31.50  -21898538.571
   32.00  -21898611.029
   32.50  -21898680.766
   33.00  -21898747.485
   33.50  -21898811.132
   34.00  -21898871.413
   34.50  -21898928.360
   35.00  -21898982.138
   35.50  -21899032.785
   36.00  -21899080.611
   36.50  -21899125.481
   37.00  -21899167.765
   37.50  -21899207.710
   38.00  -21899245.612
   38.50  -21899281.604
   39.00  -21899315.874
   39.50  -21899348.671
   40.00  -21899380.463
   40.50  -21899411.387
   41.00  -21899441.577
   41.50  -21899471.211
   42.00  -21899500.625
   42.50  -21899530.015
   43.00  -21899559.224
   43.50  -21899588.417
   44.00  -21899617.621
   44.50  -21899646.893
   45.00  -21899676.509
   45.50  -21899706.302
   46.00  -21899736.245
   46.50  -21899766.473
   47.00  -21899797.026
   47.50  -21899827.792
   48.00  -21899858.686
   48.50  -21899889.873
   49.00  -21899921.280
   49.50  -21899952.846
   50.00  -21899984.543
   50.50  -21900016.458
   51.00  -21900048.567
   51.50  -21900080.848
   52.00  -21900113.359
   52.50  -21900146.175
   53.00  -21900179.150
   53.50  -21900212.364
   54.00  -21900245.915
   54.50  -21900279.972
   55.00  -21900314.496
   55.50  -21900349.501
   56.00  -21900384.958
   56.50  -21900420.914
   57.00  -21900457.457
   57.50  -21900494.495
   58.00  -21900532.166
   58.50  -21900570.512
   59.00  -21900609.514
   59.50  -21900649.138
   60.00  -21900689.598
   60.50  -21900730.835
   61.00  -21900772.859
   61.50  -21900815.772
   62.00  -21900859.537
   62.50  -21900904.224
   63.00  -21900949.814
   63.50  -21900996.331
   64.00  -21901043.732
   64.50  -21901092.040
   65.00  -21901141.207
   65.50  -21901191.261
   66.00  -21901242.247
   66.50  -21901294.094
   67.00  -21901346.847
   67.50  -21901400.506
   68.00  -21901454.927
   68.50  -21901510.084
   69.00  -21901566.050
   69.50  -21901622.717
   70.00  -21901680.121
   70.50  -21901738.215
   71.00  -21901796.926
   71.50  -21901856.178
   72.00  -21901916.007
   72.50  -21901976.339
   73.00  -21902037.133
   73.50  -21902098.298
   74.00  -21902159.833
   74.50  -21902221.704
   75.00  -21902283.863
   75.50  -21902346.194
   76.00  -21902408.665
   76.50  -21902471.314
   77.00  -21902534.041
   77.50  -21902596.797
   78.00  -21902659.518
   78.50  -21902722.187
   79.00  -21902784.757
   79.50  -21902847.164
   80.00  -21902909.423
   80.50  -21902971.439
   81.00  -21903033.147
   81.50  -21903094.652
   82.00  -21903155.910
   82.50  -21903216.870
   83.00  -21903277.479
   83.50  -21903337.688
   84.00  -21903397.542
   84.50  -21903457.038
   85.00  -21903516.161
   85.50  -21903574.884
   86.00  -21903633.164
   86.50  -21903691.015
   87.00  -21903748.427
   87.50  -21903805.383
   88.00  -21903861.894
   88.50  -21903917.995
   89.00  -21903973.678
   89.50  -21904028.896
   90.00  -21904083.656
   90.50  -21904138.030
   91.00  -21904191.971
   91.50  -21904245.449
   92.00  -21904298.486
   92.50  -21904351.077
   93.00  -21904403.232
   93.50  -21904454.888
   94.00  -21904506.088
   94.50  -21904556.816
   95.00  -21904607.130
   95.50  -21904656.960
   96.00  -21904706.338
   96.50  -21904755.230
   97.00  -21904803.576
   97.50  -21904851.390
   98.00  -21904898.703
   98.50  -21904945.461
   99.00  -21904991.662
   99.50  -21905037.267
  100.00  -21905082.267
