lk,rho,theta_perSite,theta,mu,model_recomb,pw_recomb,pw_to_model_ratio
-22613438.207,7.5,0.00054,223.33698,6e-08,7.2e-11,2.0148924732482724e-09,27.984617684003783
-18506664.229,1.0,0.0005,206.7935,6e-08,7.2e-11,2.9014451614775125e-10,4.029784946496545
-19931151.469,1.0,0.00053,219.20111,6e-08,7.2e-11,2.737212416488219e-10,3.801683911789193
-26790055.541,8.0,0.0006,248.15219999999997,6e-08,7.2e-11,1.934296774318342e-09,26.86523297664364
-24159280.066,0.0,0.00055,227.47285000000002,6e-08,7.2e-11,0.0,0.0
-24746232.519,8.5,0.00058,239.88046,6e-08,7.2e-11,2.126058954530936e-09,29.528596590707448
-22314294.427,1.0,0.00056,231.60871999999998,6e-08,7.2e-11,2.590576037033493e-10,3.5980222736576297
-22427430.41,0.0,0.00056,231.60871999999998,6e-08,7.2e-11,0.0,0.0
-27295303.763,0.0,0.00063,260.55981,6e-08,7.2e-11,0.0,0.0
-23155754.049,1.0,0.00056,231.60871999999998,6e-08,7.2e-11,2.590576037033493e-10,3.5980222736576297
-26543655.603,9.5,0.00061,252.28806999999998,6e-08,7.2e-11,2.2593220519701943e-09,31.37947294403048
-19148866.516,0.0,0.00052,215.06524,6e-08,7.2e-11,0.0,0.0
-19323579.233,8.0,0.00049,202.65762999999998,6e-08,7.2e-11,2.3685266624306226e-09,32.89620364486976
-29425647.478,8.0,0.0006,248.15219999999997,6e-08,7.2e-11,1.934296774318342e-09,26.86523297664364
-18155047.554,1.0,0.0005,206.7935,6e-08,7.2e-11,2.9014451614775125e-10,4.029784946496545
-27631389.715,6.5,0.00058,239.88046,6e-08,7.2e-11,1.6258097887589508e-09,22.580691510540984
-22595285.547,2.5,0.00056,231.60871999999998,6e-08,7.2e-11,6.476440092583734e-10,8.995055684144075
-30653542.498,0.0,0.00064,264.69568000000004,6e-08,7.2e-11,0.0,0.0
-29222130.808,12.5,0.00063,260.55981,6e-08,7.2e-11,2.878417818926103e-09,39.978025262862545
-23440420.907,0.0,0.00055,227.47285000000002,6e-08,7.2e-11,0.0,0.0
-22307592.959,3.5,0.00053,219.20111,6e-08,7.2e-11,9.580243457708767e-10,13.305893691262177
-31259916.764,0.0,0.00063,260.55981,6e-08,7.2e-11,0.0,0.0
-23518636.443,0.5,0.00056,231.60871999999998,6e-08,7.2e-11,1.2952880185167466e-10,1.7990111368288149
-20103021.69,0.5,0.00052,215.06524,6e-08,7.2e-11,1.3949255584026502e-10,1.9373966088925698
-27347611.286,9.0,0.00062,256.42394,6e-08,7.2e-11,2.10588761720142e-09,29.2484391277975
-25112176.538,9.5,0.00057,235.74459,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-32943936.651,0.0,0.00065,268.83155,6e-08,7.2e-11,0.0,0.0
