Lk surface

Theta = 0.00053

Maximum at 4Ner(region) = 0.000 : Lk = -24842103.940



4Ner(region)   Pairwise Lk

    0.00  -24842103.940
    0.50  -24850607.997
    1.00  -24856332.174
    1.50  -24857575.034
    2.00  -24857278.100
    2.50  -24856463.105
    3.00  -24855501.366
    3.50  -24854567.887
    4.00  -24853794.904
    4.50  -24853258.837
    5.00  -24852975.283
    5.50  -24852924.308
    6.00  -24853050.371
    6.50  -24853295.344
    7.00  -24853607.740
    7.50  -24853943.869
    8.00  -24854281.057
    8.50  -24854610.042
    9.00  -24854933.079
    9.50  -24855254.726
   10.00  -24855577.147
   10.50  -24855907.847
   11.00  -24856246.540
   11.50  -24856593.497
   12.00  -24856945.813
   12.50  -24857298.593
   13.00  -24857647.688
   13.50  -24857990.557
   14.00  -24858321.874
   14.50  -24858637.979
   15.00  -24858936.808
   15.50  -24859217.113
   16.00  -24859477.177
   16.50  -24859716.892
   17.00  -24859936.014
   17.50  -24860135.400
   18.00  -24860315.619
   18.50  -24860478.624
   19.00  -24860627.013
   19.50  -24860762.791
   20.00  -24860886.594
   20.50  -24861001.306
   21.00  -24861109.070
   21.50  -24861210.972
   22.00  -24861309.248
   22.50  -24861405.108
   23.00  -24861499.590
   23.50  -24861593.285
   24.00  -24861687.529
   24.50  -24861782.167
   25.00  -24861877.873
   25.50  -24861974.495
   26.00  -24862072.564
   26.50  -24862171.621
   27.00  -24862271.474
   27.50  -24862372.109
   28.00  -24862472.990
   28.50  -24862574.313
   29.00  -24862675.672
   29.50  -24862777.140
   30.00  -24862877.950
   30.50  -24862978.343
   31.00  -24863078.559
   31.50  -24863178.507
   32.00  -24863278.200
   32.50  -24863377.518
   33.00  -24863476.585
   33.50  -24863575.411
   34.00  -24863674.206
   34.50  -24863773.120
   35.00  -24863872.574
   35.50  -24863972.804
   36.00  -24864073.774
   36.50  -24864175.732
   37.00  -24864278.609
   37.50  -24864382.518
   38.00  -24864487.684
   38.50  -24864594.341
   39.00  -24864702.600
   39.50  -24864812.539
   40.00  -24864924.049
   40.50  -24865037.130
   41.00  -24865151.510
   41.50  -24865267.209
   42.00  -24865384.462
   42.50  -24865503.229
   43.00  -24865623.148
   43.50  -24865744.286
   44.00  -24865866.407
   44.50  -24865989.237
   45.00  -24866112.719
   45.50  -24866236.664
   46.00  -24866361.060
   46.50  -24866485.538
   47.00  -24866610.035
   47.50  -24866734.421
   48.00  -24866858.444
   48.50  -24866981.890
   49.00  -24867104.723
   49.50  -24867226.886
   50.00  -24867348.270
   50.50  -24867468.689
   51.00  -24867587.886
   51.50  -24867705.870
   52.00  -24867822.602
   52.50  -24867937.736
   53.00  -24868051.427
   53.50  -24868163.470
   54.00  -24868273.860
   54.50  -24868382.554
   55.00  -24868489.653
   55.50  -24868595.149
   56.00  -24868698.953
   56.50  -24868801.139
   57.00  -24868901.674
   57.50  -24869000.587
   58.00  -24869097.826
   58.50  -24869193.615
   59.00  -24869287.938
   59.50  -24869380.885
   60.00  -24869472.421
   60.50  -24869562.688
   61.00  -24869651.634
   61.50  -24869739.452
   62.00  -24869826.137
   62.50  -24869911.889
   63.00  -24869996.607
   63.50  -24870080.475
   64.00  -24870163.533
   64.50  -24870245.894
   65.00  -24870327.615
   65.50  -24870408.682
   66.00  -24870489.155
   66.50  -24870569.252
   67.00  -24870648.869
   67.50  -24870728.091
   68.00  -24870807.000
   68.50  -24870885.621
   69.00  -24870964.041
   69.50  -24871042.219
   70.00  -24871120.180
   70.50  -24871198.064
   71.00  -24871275.869
   71.50  -24871353.604
   72.00  -24871431.350
   72.50  -24871509.045
   73.00  -24871586.733
   73.50  -24871664.526
   74.00  -24871742.393
   74.50  -24871820.317
   75.00  -24871898.313
   75.50  -24871976.333
   76.00  -24872054.457
   76.50  -24872132.694
   77.00  -24872211.066
   77.50  -24872289.577
   78.00  -24872368.233
   78.50  -24872447.041
   79.00  -24872525.992
   79.50  -24872605.060
   80.00  -24872684.375
   80.50  -24872763.832
   81.00  -24872843.451
   81.50  -24872923.175
   82.00  -24873002.973
   82.50  -24873082.912
   83.00  -24873162.996
   83.50  -24873243.214
   84.00  -24873323.581
   84.50  -24873404.081
   85.00  -24873484.757
   85.50  -24873565.561
   86.00  -24873646.466
   86.50  -24873727.492
   87.00  -24873808.618
   87.50  -24873889.882
   88.00  -24873971.245
   88.50  -24874052.699
   89.00  -24874134.181
   89.50  -24874215.720
   90.00  -24874297.296
   90.50  -24874378.975
   91.00  -24874460.722
   91.50  -24874542.520
   92.00  -24874624.420
   92.50  -24874706.370
   93.00  -24874788.364
   93.50  -24874870.383
   94.00  -24874952.450
   94.50  -24875034.556
   95.00  -24875116.739
   95.50  -24875198.967
   96.00  -24875281.217
   96.50  -24875363.469
   97.00  -24875445.772
   97.50  -24875528.147
   98.00  -24875610.528
   98.50  -24875692.918
   99.00  -24875775.344
   99.50  -24875857.864
  100.00  -24875940.506
