lk,rho,theta_perSite,theta,mu,model_recomb,pw_recomb,pw_to_model_ratio
-20825213.89,9.0,0.0005,206.7935,6e-08,7.2e-11,2.611300645329761e-09,36.268064518468904
-19417658.845,4.0,0.00049,202.65762999999998,6e-08,7.2e-11,1.1842633312153113e-09,16.44810182243488
-18747491.137,8.0,0.00046,190.25002,6e-08,7.2e-11,2.5229957925891412e-09,35.04160823040474
-15755896.941,1.5,0.00044,181.97828,6e-08,7.2e-11,4.945645161609396e-10,6.8689516133463835
-22949354.646,1.0,0.00054,223.33698,6e-08,7.2e-11,2.686523297664363e-10,3.7312823578671708
-19835419.397,1.5,0.00048,198.52176,6e-08,7.2e-11,4.533508064808613e-10,6.296538978900852
-25858355.645,4.5,0.00055,227.47285000000002,6e-08,7.2e-11,1.186954838786255e-09,16.48548387203132
-28478897.672,4.0,0.0006,248.15219999999997,6e-08,7.2e-11,9.67148387159171e-10,13.43261648832182
-23449969.488,0.5,0.00054,223.33698,6e-08,7.2e-11,1.3432616488321814e-10,1.8656411789335854
-19029518.182,9.0,0.00049,202.65762999999998,6e-08,7.2e-11,2.66459249523445e-09,37.008229100478474
-25053546.406,1.5,0.00055,227.47285000000002,6e-08,7.2e-11,3.9565161292875167e-10,5.495161290677107
-17652255.585,0.0,0.00046,190.25002,6e-08,7.2e-11,0.0,0.0
-16121284.749,8.0,0.00045,186.11415,6e-08,7.2e-11,2.579062365757789e-09,35.82031063552485
-15841318.223,0.0,0.00042,173.70654000000002,6e-08,7.2e-11,0.0,0.0
-20886712.789,1.0,0.00049,202.65762999999998,6e-08,7.2e-11,2.960658328038278e-10,4.11202545560872
-30729170.188,0.0,0.00062,256.42394,6e-08,7.2e-11,0.0,0.0
-14510996.57,0.5,0.0004,165.4348,6e-08,7.2e-11,1.813403225923445e-10,2.5186155915603403
-22527303.322,4.5,0.00051,210.92937,6e-08,7.2e-11,1.2800493359459612e-09,17.778462999249463
-19576939.845,1.0,0.00047,194.38589,6e-08,7.2e-11,3.086643788805864e-10,4.287005262230367
-21315101.71,1.0,0.00052,215.06524,6e-08,7.2e-11,2.7898511168053003e-10,3.8747932177851396
-20764216.401,8.0,0.0005,206.7935,6e-08,7.2e-11,2.32115612918201e-09,32.23827957197236
-12817101.213,0.0,0.00039,161.29892999999998,6e-08,7.2e-11,0.0,0.0
-13522559.867,2.5,0.00039,161.29892999999998,6e-08,7.2e-11,9.299503722684336e-10,12.915977392617133
-12938573.498,0.0,0.00041,169.57067,6e-08,7.2e-11,0.0,0.0
-24082998.545,1.5,0.00051,210.92937,6e-08,7.2e-11,4.266831119819871e-10,5.926154333083154
-18685745.321,1.0,0.00048,198.52176,6e-08,7.2e-11,3.0223387098724086e-10,4.197692652600567
-16920213.529,0.5,0.00046,190.25002,6e-08,7.2e-11,1.5768723703682133e-10,2.1901005144002963
-28480257.388,7.0,0.00058,239.88046,6e-08,7.2e-11,1.750872080201947e-09,24.3176677805826
-23712444.8,0.0,0.00051,210.92937,6e-08,7.2e-11,0.0,0.0
-27112538.552,0.0,0.00056,231.60871999999998,6e-08,7.2e-11,0.0,0.0
-29203137.095,11.5,0.00059,244.01633,6e-08,7.2e-11,2.827679606524694e-09,39.27332786839853
-22072780.382,0.0,0.00052,215.06524,6e-08,7.2e-11,0.0,0.0
-15371697.892,0.0,0.00044,181.97828,6e-08,7.2e-11,0.0,0.0
-18649815.704,1.0,0.00047,194.38589,6e-08,7.2e-11,3.086643788805864e-10,4.287005262230367
-20088274.741,1.0,0.00049,202.65762999999998,6e-08,7.2e-11,2.960658328038278e-10,4.11202545560872
-20547062.846,0.0,0.00049,202.65762999999998,6e-08,7.2e-11,0.0,0.0
-22817622.256,4.0,0.00048,198.52176,6e-08,7.2e-11,1.2089354839489634e-09,16.79077061040227
-18169376.115,0.0,0.00045,186.11415,6e-08,7.2e-11,0.0,0.0
-19308262.42,0.0,0.00049,202.65762999999998,6e-08,7.2e-11,0.0,0.0
-27489556.568,1.0,0.00055,227.47285000000002,6e-08,7.2e-11,2.637677419525011e-10,3.663440860451404
-22242035.542,0.0,0.00053,219.20111,6e-08,7.2e-11,0.0,0.0
-20779172.837,0.0,0.00049,202.65762999999998,6e-08,7.2e-11,0.0,0.0
-18022000.82,1.5,0.00047,194.38589,6e-08,7.2e-11,4.629965683208797e-10,6.430507893345552
-17581575.888,1.0,0.00045,186.11415,6e-08,7.2e-11,3.223827957197236e-10,4.477538829440606
-21972466.517,7.0,0.00051,210.92937,6e-08,7.2e-11,1.99118785591594e-09,27.65538688772139
-16081111.377,5.5,0.00044,181.97828,6e-08,7.2e-11,1.8134032259234452e-09,25.186155915603408
-22417791.969,1.5,0.0005,206.7935,6e-08,7.2e-11,4.3521677422162685e-10,6.044677419744818
-17258662.511,1.0,0.00045,186.11415,6e-08,7.2e-11,3.223827957197236e-10,4.477538829440606
-20134885.124,11.5,0.00049,202.65762999999998,6e-08,7.2e-11,3.40475707724402e-09,47.28829273950028
-29627478.493,0.0,0.00057,235.74459,6e-08,7.2e-11,0.0,0.0
-15829400.792,0.0,0.00044,181.97828,6e-08,7.2e-11,0.0,0.0
-26294257.823,0.0,0.00054,223.33698,6e-08,7.2e-11,0.0,0.0
-24842103.94,0.0,0.00053,219.20111,6e-08,7.2e-11,0.0,0.0
-13196410.878,0.0,0.00041,169.57067,6e-08,7.2e-11,0.0,0.0
-20732365.372,3.0,0.00051,210.92937,6e-08,7.2e-11,8.533662239639742e-10,11.852308666166309
-18540039.134,1.0,0.00046,190.25002,6e-08,7.2e-11,3.1537447407364265e-10,4.380201028800593
-15217729.085,0.0,0.00043,177.84241,6e-08,7.2e-11,0.0,0.0
-17931787.132,0.0,0.00046,190.25002,6e-08,7.2e-11,0.0,0.0
-20974499.843,3.0,0.00048,198.52176,6e-08,7.2e-11,9.067016129617226e-10,12.593077957801704
-29013656.448,0.0,0.00056,231.60871999999998,6e-08,7.2e-11,0.0,0.0
-26152867.937,0.0,0.00056,231.60871999999998,6e-08,7.2e-11,0.0,0.0
-20372618.051,1.0,0.00049,202.65762999999998,6e-08,7.2e-11,2.960658328038278e-10,4.11202545560872
-19196021.468,0.0,0.00048,198.52176,6e-08,7.2e-11,0.0,0.0
-19617799.253,0.5,0.00049,202.65762999999998,6e-08,7.2e-11,1.480329164019139e-10,2.05601272780436
-24630301.555,0.0,0.00053,219.20111,6e-08,7.2e-11,0.0,0.0
-20533467.749,8.0,0.00049,202.65762999999998,6e-08,7.2e-11,2.3685266624306226e-09,32.89620364486976
-22933219.57,0.0,0.00053,219.20111,6e-08,7.2e-11,0.0,0.0
-22662663.524,1.5,0.00051,210.92937,6e-08,7.2e-11,4.266831119819871e-10,5.926154333083154
-22685689.78,0.0,0.00052,215.06524,6e-08,7.2e-11,0.0,0.0
-19202373.03,1.0,0.00049,202.65762999999998,6e-08,7.2e-11,2.960658328038278e-10,4.11202545560872
-20433078.227,1.0,0.0005,206.7935,6e-08,7.2e-11,2.9014451614775125e-10,4.029784946496545
-14251460.468,0.0,0.00044,181.97828,6e-08,7.2e-11,0.0,0.0
-16320910.118,0.0,0.00043,177.84241,6e-08,7.2e-11,0.0,0.0
-24712424.993,0.0,0.00051,210.92937,6e-08,7.2e-11,0.0,0.0
-18215362.188,1.0,0.00048,198.52176,6e-08,7.2e-11,3.0223387098724086e-10,4.197692652600567
-17882984.762,1.0,0.00043,177.84241,6e-08,7.2e-11,3.3737734435785027e-10,4.685796449414587
-17544221.489,0.0,0.00047,194.38589,6e-08,7.2e-11,0.0,0.0
-19515328.026,0.0,0.00049,202.65762999999998,6e-08,7.2e-11,0.0,0.0
-25857532.666,3.5,0.00053,219.20111,6e-08,7.2e-11,9.580243457708767e-10,13.305893691262177
-18858749.134,3.5,0.00046,190.25002,6e-08,7.2e-11,1.103810659257749e-09,15.330703600802071
-14538435.221,2.5,0.00042,173.70654000000002,6e-08,7.2e-11,8.635253456778309e-10,11.993407578858763
-22670256.195,10.5,0.00053,219.20111,6e-08,7.2e-11,2.87407303731263e-09,39.91768107378653
-15315379.147,0.0,0.00043,177.84241,6e-08,7.2e-11,0.0,0.0
-20268530.513,2.0,0.00048,198.52176,6e-08,7.2e-11,6.044677419744817e-10,8.395385305201135
-22394118.817,1.0,0.00051,210.92937,6e-08,7.2e-11,2.844554079879914e-10,3.95076955538877
-15794550.144,1.5,0.00045,186.11415,6e-08,7.2e-11,4.835741935795854e-10,6.716308244160909
-22912830.271,0.0,0.0005,206.7935,6e-08,7.2e-11,0.0,0.0
-22746606.192,0.0,0.00052,215.06524,6e-08,7.2e-11,0.0,0.0
-24663850.21,7.0,0.00053,219.20111,6e-08,7.2e-11,1.9160486915417534e-09,26.611787382524355
-28451411.007,0.5,0.00057,235.74459,6e-08,7.2e-11,1.2725636673146984e-10,1.7674495379370811
-21217266.65,1.5,0.00052,215.06524,6e-08,7.2e-11,4.1847766752079505e-10,5.8121898266777094
-30749668.015,1.5,0.00059,244.01633,6e-08,7.2e-11,3.6882777476409054e-10,5.122607982834591
-23839148.588,0.0,0.00055,227.47285000000002,6e-08,7.2e-11,0.0,0.0
-21710357.006,1.0,0.00049,202.65762999999998,6e-08,7.2e-11,2.960658328038278e-10,4.11202545560872
-19888883.235,0.0,0.0005,206.7935,6e-08,7.2e-11,0.0,0.0
-18082236.864,0.0,0.00044,181.97828,6e-08,7.2e-11,0.0,0.0
-13337156.107,1.0,0.0004,165.4348,6e-08,7.2e-11,3.62680645184689e-10,5.037231183120681
-15984756.215,0.0,0.00043,177.84241,6e-08,7.2e-11,0.0,0.0
-16135129.057,0.0,0.00044,181.97828,6e-08,7.2e-11,0.0,0.0
-28433599.68,2.5,0.00059,244.01633,6e-08,7.2e-11,6.147129579401509e-10,8.537679971390984
