Lk surface

Theta = 0.00006

Maximum at 4Ner(region) = 1.000 : Lk = -440739.311



4Ner(region)   Pairwise Lk

    0.00  -440754.218
    0.50  -440743.028
    1.00  -440739.311
    1.50  -440748.553
    2.00  -440766.388
    2.50  -440788.535
    3.00  -440811.579
    3.50  -440833.483
    4.00  -440853.357
    4.50  -440870.659
    5.00  -440886.545
    5.50  -440902.467
    6.00  -440918.749
    6.50  -440935.802
    7.00  -440952.985
    7.50  -440970.604
    8.00  -440988.645
    8.50  -441006.960
    9.00  -441025.665
    9.50  -441044.607
   10.00  -441063.880
   10.50  -441083.112
   11.00  -441102.239
   11.50  -441121.022
   12.00  -441139.433
   12.50  -441157.627
   13.00  -441175.578
   13.50  -441192.982
   14.00  -441209.934
   14.50  -441226.266
   15.00  -441242.129
   15.50  -441257.478
   16.00  -441272.470
   16.50  -441287.085
   17.00  -441301.377
   17.50  -441315.437
   18.00  -441329.306
   18.50  -441343.096
   19.00  -441356.769
   19.50  -441370.347
   20.00  -441383.876
   20.50  -441397.381
   21.00  -441410.846
   21.50  -441424.279
   22.00  -441437.587
   22.50  -441450.864
   23.00  -441464.105
   23.50  -441477.279
   24.00  -441490.379
   24.50  -441503.385
   25.00  -441516.268
   25.50  -441529.025
   26.00  -441541.624
   26.50  -441554.148
   27.00  -441566.518
   27.50  -441578.805
   28.00  -441591.017
   28.50  -441603.094
   29.00  -441615.013
   29.50  -441626.767
   30.00  -441638.432
   30.50  -441650.002
   31.00  -441661.491
   31.50  -441672.862
   32.00  -441684.127
   32.50  -441695.308
   33.00  -441706.418
   33.50  -441717.434
   34.00  -441728.370
   34.50  -441739.268
   35.00  -441750.111
   35.50  -441760.908
   36.00  -441771.616
   36.50  -441782.272
   37.00  -441792.857
   37.50  -441803.362
   38.00  -441813.799
   38.50  -441824.181
   39.00  -441834.509
   39.50  -441844.781
   40.00  -441855.023
   40.50  -441865.203
   41.00  -441875.317
   41.50  -441885.368
   42.00  -441895.370
   42.50  -441905.306
   43.00  -441915.188
   43.50  -441924.986
   44.00  -441934.710
   44.50  -441944.366
   45.00  -441953.955
   45.50  -441963.490
   46.00  -441972.961
   46.50  -441982.372
   47.00  -441991.720
   47.50  -442001.002
   48.00  -442010.233
   48.50  -442019.407
   49.00  -442028.521
   49.50  -442037.579
   50.00  -442046.575
   50.50  -442055.511
   51.00  -442064.394
   51.50  -442073.231
   52.00  -442082.024
   52.50  -442090.765
   53.00  -442099.467
   53.50  -442108.127
   54.00  -442116.746
   54.50  -442125.339
   55.00  -442133.883
   55.50  -442142.383
   56.00  -442150.858
   56.50  -442159.289
   57.00  -442167.677
   57.50  -442176.029
   58.00  -442184.351
   58.50  -442192.644
   59.00  -442200.912
   59.50  -442209.158
   60.00  -442217.393
   60.50  -442225.603
   61.00  -442233.789
   61.50  -442241.952
   62.00  -442250.093
   62.50  -442258.212
   63.00  -442266.305
   63.50  -442274.388
   64.00  -442282.451
   64.50  -442290.491
   65.00  -442298.510
   65.50  -442306.505
   66.00  -442314.482
   66.50  -442322.446
   67.00  -442330.385
   67.50  -442338.293
   68.00  -442346.186
   68.50  -442354.072
   69.00  -442361.930
   69.50  -442369.771
   70.00  -442377.594
   70.50  -442385.398
   71.00  -442393.182
   71.50  -442400.954
   72.00  -442408.704
   72.50  -442416.432
   73.00  -442424.135
   73.50  -442431.819
   74.00  -442439.485
   74.50  -442447.129
   75.00  -442454.760
   75.50  -442462.373
   76.00  -442469.955
   76.50  -442477.516
   77.00  -442485.062
   77.50  -442492.585
   78.00  -442500.089
   78.50  -442507.579
   79.00  -442515.047
   79.50  -442522.488
   80.00  -442529.898
   80.50  -442537.289
   81.00  -442544.659
   81.50  -442552.004
   82.00  -442559.328
   82.50  -442566.625
   83.00  -442573.898
   83.50  -442581.140
   84.00  -442588.350
   84.50  -442595.531
   85.00  -442602.689
   85.50  -442609.815
   86.00  -442616.915
   86.50  -442623.995
   87.00  -442631.042
   87.50  -442638.057
   88.00  -442645.051
   88.50  -442652.020
   89.00  -442658.966
   89.50  -442665.889
   90.00  -442672.780
   90.50  -442679.644
   91.00  -442686.488
   91.50  -442693.301
   92.00  -442700.088
   92.50  -442706.847
   93.00  -442713.583
   93.50  -442720.288
   94.00  -442726.968
   94.50  -442733.626
   95.00  -442740.260
   95.50  -442746.869
   96.00  -442753.458
   96.50  -442760.021
   97.00  -442766.562
   97.50  -442773.082
   98.00  -442779.578
   98.50  -442786.055
   99.00  -442792.513
   99.50  -442798.953
  100.00  -442805.374
