lk,rho,theta_perSite,theta,mu,model_recomb,pw_recomb,pw_to_model_ratio
-517100.735,1.5,6e-05,24.81522,6e-08,7.2e-11,3.6268064518468903e-09,50.372311831206815
-461088.721,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-308153.319,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-601423.429,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-791802.221,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-191123.76,1.0,4e-05,16.543480000000002,6e-08,7.2e-11,3.62680645184689e-09,50.37231183120681
-163698.945,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-471998.256,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-286927.138,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-531792.321,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-357745.952,0.5,5e-05,20.67935,6e-08,7.2e-11,1.450722580738756e-09,20.148924732482723
-204247.889,1.5,4e-05,16.543480000000002,6e-08,7.2e-11,5.440209677770335e-09,75.55846774681021
-673704.18,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-1388132.5,0.0,9e-05,37.22283,6e-08,7.2e-11,0.0,0.0
-454480.941,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-357430.996,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-776213.692,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-274360.161,1.5,4e-05,16.543480000000002,6e-08,7.2e-11,5.440209677770335e-09,75.55846774681021
-441324.456,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-528366.526,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-3348409.441,0.0,0.00013,53.76631,6e-08,7.2e-11,0.0,0.0
-206835.502,0.5,4e-05,16.543480000000002,6e-08,7.2e-11,1.813403225923445e-09,25.186155915603404
-455742.991,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-759188.912,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-329330.48,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-678784.151,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-1164935.245,1.0,9e-05,37.22283,6e-08,7.2e-11,1.611913978598618e-09,22.387694147203028
-575644.924,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-682957.394,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-695279.813,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-880303.455,0.5,7e-05,28.951089999999997,6e-08,7.2e-11,1.0362304148133973e-09,14.392089094630519
-599318.322,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-630688.418,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-1456065.183,0.0,9e-05,37.22283,6e-08,7.2e-11,0.0,0.0
-715030.478,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-706015.163,1.0,7e-05,28.951089999999997,6e-08,7.2e-11,2.0724608296267946e-09,28.784178189261038
-485836.303,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-241495.212,2.0,4e-05,16.543480000000002,6e-08,7.2e-11,7.25361290369378e-09,100.74462366241362
-480961.905,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-391628.536,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-576650.053,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-628284.821,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-359316.644,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-680811.075,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-577211.333,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-407443.012,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-153846.247,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-440739.311,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-288170.633,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-515807.225,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-543198.762,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-1530793.862,0.0,9e-05,37.22283,6e-08,7.2e-11,0.0,0.0
-1083195.348,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-779685.425,1.0,7e-05,28.951089999999997,6e-08,7.2e-11,2.0724608296267946e-09,28.784178189261038
-518105.643,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-415103.611,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-383347.368,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-355003.28,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-636551.146,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-384773.614,2.0,6e-05,24.81522,6e-08,7.2e-11,4.835741935795854e-09,67.16308244160908
-909747.171,1.0,8e-05,33.086960000000005,6e-08,7.2e-11,1.813403225923445e-09,25.186155915603404
-1007910.34,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-353770.94,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-765727.532,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-478140.94,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-545082.964,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-1171287.646,0.0,9e-05,37.22283,6e-08,7.2e-11,0.0,0.0
-447419.663,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-710242.827,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-468106.624,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-334985.787,1.5,5e-05,20.67935,6e-08,7.2e-11,4.352167742216269e-09,60.44677419744818
-830741.501,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-821675.678,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-336503.518,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-514143.925,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-895709.974,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-195131.85,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-475598.411,0.5,5e-05,20.67935,6e-08,7.2e-11,1.450722580738756e-09,20.148924732482723
-369330.564,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-418469.011,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-786117.929,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-574636.339,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-361839.373,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-468886.226,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-607461.577,1.0,7e-05,28.951089999999997,6e-08,7.2e-11,2.0724608296267946e-09,28.784178189261038
-284548.491,0.5,5e-05,20.67935,6e-08,7.2e-11,1.450722580738756e-09,20.148924732482723
-572149.022,1.5,6e-05,24.81522,6e-08,7.2e-11,3.6268064518468903e-09,50.372311831206815
-256490.353,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-544752.938,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-488090.384,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-246512.352,1.0,4e-05,16.543480000000002,6e-08,7.2e-11,3.62680645184689e-09,50.37231183120681
-515282.106,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-373584.558,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-261035.377,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-399239.076,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-1148166.109,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-971407.37,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-1354385.47,0.0,9e-05,37.22283,6e-08,7.2e-11,0.0,0.0
-602376.679,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-473977.133,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
