Lk surface

Theta = 0.00005

Maximum at 4Ner(region) = 0.000 : Lk = -427726.921



4Ner(region)   Pairwise Lk

    0.00  -427726.921
    0.50  -427757.906
    1.00  -427793.037
    1.50  -427831.993
    2.00  -427871.649
    2.50  -427904.623
    3.00  -427932.812
    3.50  -427957.444
    4.00  -427979.876
    4.50  -428000.923
    5.00  -428021.769
    5.50  -428042.599
    6.00  -428063.407
    6.50  -428084.609
    7.00  -428105.889
    7.50  -428127.072
    8.00  -428148.100
    8.50  -428169.087
    9.00  -428189.665
    9.50  -428210.145
   10.00  -428230.715
   10.50  -428251.311
   11.00  -428271.763
   11.50  -428292.192
   12.00  -428312.695
   12.50  -428333.076
   13.00  -428353.360
   13.50  -428373.525
   14.00  -428393.630
   14.50  -428413.569
   15.00  -428433.317
   15.50  -428452.800
   16.00  -428472.101
   16.50  -428491.136
   17.00  -428509.975
   17.50  -428528.634
   18.00  -428547.061
   18.50  -428565.274
   19.00  -428583.210
   19.50  -428600.866
   20.00  -428618.233
   20.50  -428635.419
   21.00  -428652.381
   21.50  -428669.088
   22.00  -428685.595
   22.50  -428701.938
   23.00  -428718.097
   23.50  -428734.072
   24.00  -428749.847
   24.50  -428765.474
   25.00  -428780.957
   25.50  -428796.289
   26.00  -428811.522
   26.50  -428826.615
   27.00  -428841.593
   27.50  -428856.481
   28.00  -428871.241
   28.50  -428885.896
   29.00  -428900.429
   29.50  -428914.831
   30.00  -428929.124
   30.50  -428943.333
   31.00  -428957.460
   31.50  -428971.521
   32.00  -428985.462
   32.50  -428999.324
   33.00  -429013.100
   33.50  -429026.794
   34.00  -429040.395
   34.50  -429053.892
   35.00  -429067.288
   35.50  -429080.625
   36.00  -429093.902
   36.50  -429107.123
   37.00  -429120.269
   37.50  -429133.342
   38.00  -429146.351
   38.50  -429159.306
   39.00  -429172.211
   39.50  -429185.051
   40.00  -429197.841
   40.50  -429210.584
   41.00  -429223.299
   41.50  -429235.958
   42.00  -429248.570
   42.50  -429261.121
   43.00  -429273.627
   43.50  -429286.106
   44.00  -429298.531
   44.50  -429310.903
   45.00  -429323.224
   45.50  -429335.480
   46.00  -429347.673
   46.50  -429359.811
   47.00  -429371.891
   47.50  -429383.922
   48.00  -429395.890
   48.50  -429407.794
   49.00  -429419.637
   49.50  -429431.410
   50.00  -429443.128
   50.50  -429454.764
   51.00  -429466.353
   51.50  -429477.862
   52.00  -429489.295
   52.50  -429500.665
   53.00  -429511.984
   53.50  -429523.234
   54.00  -429534.402
   54.50  -429545.504
   55.00  -429556.548
   55.50  -429567.546
   56.00  -429578.488
   56.50  -429589.368
   57.00  -429600.187
   57.50  -429610.943
   58.00  -429621.650
   58.50  -429632.305
   59.00  -429642.900
   59.50  -429653.448
   60.00  -429663.938
   60.50  -429674.375
   61.00  -429684.762
   61.50  -429695.099
   62.00  -429705.386
   62.50  -429715.624
   63.00  -429725.804
   63.50  -429735.942
   64.00  -429746.030
   64.50  -429756.074
   65.00  -429766.079
   65.50  -429776.023
   66.00  -429785.925
   66.50  -429795.783
   67.00  -429805.595
   67.50  -429815.364
   68.00  -429825.086
   68.50  -429834.772
   69.00  -429844.420
   69.50  -429854.033
   70.00  -429863.609
   70.50  -429873.144
   71.00  -429882.645
   71.50  -429892.097
   72.00  -429901.507
   72.50  -429910.882
   73.00  -429920.223
   73.50  -429929.531
   74.00  -429938.808
   74.50  -429948.050
   75.00  -429957.262
   75.50  -429966.443
   76.00  -429975.596
   76.50  -429984.715
   77.00  -429993.802
   77.50  -430002.861
   78.00  -430011.889
   78.50  -430020.892
   79.00  -430029.864
   79.50  -430038.808
   80.00  -430047.717
   80.50  -430056.597
   81.00  -430065.443
   81.50  -430074.260
   82.00  -430083.051
   82.50  -430091.810
   83.00  -430100.540
   83.50  -430109.247
   84.00  -430117.929
   84.50  -430126.579
   85.00  -430135.204
   85.50  -430143.798
   86.00  -430152.360
   86.50  -430160.897
   87.00  -430169.400
   87.50  -430177.869
   88.00  -430186.312
   88.50  -430194.727
   89.00  -430203.112
   89.50  -430211.471
   90.00  -430219.807
   90.50  -430228.110
   91.00  -430236.385
   91.50  -430244.638
   92.00  -430252.865
   92.50  -430261.065
   93.00  -430269.232
   93.50  -430277.379
   94.00  -430285.504
   94.50  -430293.605
   95.00  -430301.676
   95.50  -430309.720
   96.00  -430317.738
   96.50  -430325.728
   97.00  -430333.692
   97.50  -430341.629
   98.00  -430349.549
   98.50  -430357.448
   99.00  -430365.323
   99.50  -430373.167
  100.00  -430380.984
