lk,rho,theta_perSite,theta,mu,model_recomb,pw_recomb,pw_to_model_ratio
-481136.235,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-614299.885,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-664365.25,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-736237.754,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-722563.761,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-644562.071,0.5,6e-05,24.81522,6e-08,7.2e-11,1.2089354839489634e-09,16.79077061040227
-282526.383,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-420777.317,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-565943.197,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-1080383.081,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-1362655.929,0.0,9e-05,37.22283,6e-08,7.2e-11,0.0,0.0
-756277.268,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-807578.674,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-1588324.219,0.0,0.0001,41.3587,6e-08,7.2e-11,0.0,0.0
-803617.423,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-868965.902,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-322447.916,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-636744.356,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-360756.485,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-334397.383,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-850310.006,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-380690.992,1.5,6e-05,24.81522,6e-08,7.2e-11,3.6268064518468903e-09,50.372311831206815
-846070.153,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-677177.459,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-626929.099,0.5,7e-05,28.951089999999997,6e-08,7.2e-11,1.0362304148133973e-09,14.392089094630519
-410063.533,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-470062.01,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-565981.991,1.0,7e-05,28.951089999999997,6e-08,7.2e-11,2.0724608296267946e-09,28.784178189261038
-787723.77,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-979654.167,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-282182.274,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-518775.521,0.5,6e-05,24.81522,6e-08,7.2e-11,1.2089354839489634e-09,16.79077061040227
-534220.218,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-587920.907,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-427726.921,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-453051.142,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
