Lk surface

Theta = 0.00004

Maximum at 4Ner(region) = 0.000 : Lk = -205363.560



4Ner(region)   Pairwise Lk

    0.00  -205363.560
    0.50  -205381.043
    1.00  -205398.915
    1.50  -205409.034
    2.00  -205416.930
    2.50  -205425.253
    3.00  -205433.340
    3.50  -205441.780
    4.00  -205450.964
    4.50  -205460.890
    5.00  -205471.721
    5.50  -205483.580
    6.00  -205496.274
    6.50  -205509.494
    7.00  -205523.052
    7.50  -205536.933
    8.00  -205550.900
    8.50  -205564.831
    9.00  -205579.043
    9.50  -205593.234
   10.00  -205607.234
   10.50  -205621.302
   11.00  -205635.291
   11.50  -205649.297
   12.00  -205663.082
   12.50  -205676.761
   13.00  -205690.342
   13.50  -205703.764
   14.00  -205717.003
   14.50  -205730.094
   15.00  -205742.997
   15.50  -205755.709
   16.00  -205768.188
   16.50  -205780.547
   17.00  -205792.763
   17.50  -205804.821
   18.00  -205816.733
   18.50  -205828.495
   19.00  -205840.106
   19.50  -205851.565
   20.00  -205862.870
   20.50  -205873.980
   21.00  -205884.988
   21.50  -205895.839
   22.00  -205906.503
   22.50  -205917.025
   23.00  -205927.410
   23.50  -205937.688
   24.00  -205947.829
   24.50  -205957.830
   25.00  -205967.723
   25.50  -205977.475
   26.00  -205987.115
   26.50  -205996.671
   27.00  -206006.141
   27.50  -206015.513
   28.00  -206024.833
   28.50  -206034.087
   29.00  -206043.277
   29.50  -206052.407
   30.00  -206061.481
   30.50  -206070.505
   31.00  -206079.468
   31.50  -206088.409
   32.00  -206097.320
   32.50  -206106.180
   33.00  -206115.012
   33.50  -206123.792
   34.00  -206132.549
   34.50  -206141.246
   35.00  -206149.905
   35.50  -206158.515
   36.00  -206167.095
   36.50  -206175.624
   37.00  -206184.103
   37.50  -206192.533
   38.00  -206200.904
   38.50  -206209.225
   39.00  -206217.502
   39.50  -206225.732
   40.00  -206233.912
   40.50  -206242.039
   41.00  -206250.112
   41.50  -206258.115
   42.00  -206266.068
   42.50  -206273.971
   43.00  -206281.815
   43.50  -206289.611
   44.00  -206297.356
   44.50  -206305.053
   45.00  -206312.711
   45.50  -206320.315
   46.00  -206327.885
   46.50  -206335.409
   47.00  -206342.873
   47.50  -206350.288
   48.00  -206357.660
   48.50  -206364.997
   49.00  -206372.294
   49.50  -206379.559
   50.00  -206386.779
   50.50  -206393.970
   51.00  -206401.127
   51.50  -206408.248
   52.00  -206415.329
   52.50  -206422.372
   53.00  -206429.385
   53.50  -206436.361
   54.00  -206443.307
   54.50  -206450.217
   55.00  -206457.088
   55.50  -206463.920
   56.00  -206470.708
   56.50  -206477.466
   57.00  -206484.192
   57.50  -206490.880
   58.00  -206497.537
   58.50  -206504.166
   59.00  -206510.763
   59.50  -206517.314
   60.00  -206523.831
   60.50  -206530.317
   61.00  -206536.762
   61.50  -206543.175
   62.00  -206549.549
   62.50  -206555.885
   63.00  -206562.187
   63.50  -206568.460
   64.00  -206574.694
   64.50  -206580.896
   65.00  -206587.061
   65.50  -206593.193
   66.00  -206599.296
   66.50  -206605.368
   67.00  -206611.409
   67.50  -206617.416
   68.00  -206623.399
   68.50  -206629.348
   69.00  -206635.263
   69.50  -206641.150
   70.00  -206647.012
   70.50  -206652.842
   71.00  -206658.646
   71.50  -206664.419
   72.00  -206670.168
   72.50  -206675.892
   73.00  -206681.599
   73.50  -206687.280
   74.00  -206692.942
   74.50  -206698.579
   75.00  -206704.196
   75.50  -206709.787
   76.00  -206715.356
   76.50  -206720.909
   77.00  -206726.439
   77.50  -206731.948
   78.00  -206737.442
   78.50  -206742.917
   79.00  -206748.372
   79.50  -206753.806
   80.00  -206759.222
   80.50  -206764.619
   81.00  -206769.997
   81.50  -206775.357
   82.00  -206780.699
   82.50  -206786.024
   83.00  -206791.330
   83.50  -206796.620
   84.00  -206801.896
   84.50  -206807.156
   85.00  -206812.399
   85.50  -206817.627
   86.00  -206822.836
   86.50  -206828.029
   87.00  -206833.205
   87.50  -206838.369
   88.00  -206843.516
   88.50  -206848.648
   89.00  -206853.764
   89.50  -206858.866
   90.00  -206863.954
   90.50  -206869.025
   91.00  -206874.083
   91.50  -206879.128
   92.00  -206884.153
   92.50  -206889.168
   93.00  -206894.167
   93.50  -206899.152
   94.00  -206904.122
   94.50  -206909.075
   95.00  -206914.017
   95.50  -206918.946
   96.00  -206923.855
   96.50  -206928.753
   97.00  -206933.635
   97.50  -206938.504
   98.00  -206943.360
   98.50  -206948.202
   99.00  -206953.032
   99.50  -206957.843
  100.00  -206962.638
