lk,rho,theta_perSite,theta,mu,model_recomb,pw_recomb,pw_to_model_ratio
-579235.4,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-640214.201,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-368128.644,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-418095.972,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-214120.909,1.0,4e-05,16.543480000000002,6e-08,7.2e-11,3.62680645184689e-09,50.37231183120681
-507215.771,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-294137.866,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-833693.905,0.5,7e-05,28.951089999999997,6e-08,7.2e-11,1.0362304148133973e-09,14.392089094630519
-259154.732,1.0,4e-05,16.543480000000002,6e-08,7.2e-11,3.62680645184689e-09,50.37231183120681
-223358.05,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-367115.088,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-589579.092,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-547494.541,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-338835.866,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-871653.652,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-191077.867,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-288953.352,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-614809.676,1.0,7e-05,28.951089999999997,6e-08,7.2e-11,2.0724608296267946e-09,28.784178189261038
-604660.997,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-542541.235,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-627369.741,1.5,6e-05,24.81522,6e-08,7.2e-11,3.6268064518468903e-09,50.372311831206815
-400123.326,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-395584.602,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-513519.447,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-672121.373,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-337127.832,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-391929.795,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-449335.167,1.5,5e-05,20.67935,6e-08,7.2e-11,4.352167742216269e-09,60.44677419744818
-188370.494,1.0,4e-05,16.543480000000002,6e-08,7.2e-11,3.62680645184689e-09,50.37231183120681
-460527.569,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-415028.605,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-259928.154,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-447668.462,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-696949.645,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-239446.868,1.0,4e-05,16.543480000000002,6e-08,7.2e-11,3.62680645184689e-09,50.37231183120681
-787339.489,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-783019.426,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-363597.434,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-205363.56,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-491766.137,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-134458.246,0.0,3e-05,12.40761,6e-08,7.2e-11,0.0,0.0
-206394.395,1.0,4e-05,16.543480000000002,6e-08,7.2e-11,3.62680645184689e-09,50.37231183120681
-410661.037,1.5,5e-05,20.67935,6e-08,7.2e-11,4.352167742216269e-09,60.44677419744818
-351798.572,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-350939.562,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-946029.316,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-412571.842,1.5,5e-05,20.67935,6e-08,7.2e-11,4.352167742216269e-09,60.44677419744818
-764901.311,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-891183.569,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-129185.064,0.0,3e-05,12.40761,6e-08,7.2e-11,0.0,0.0
-838018.213,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-388846.941,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-463245.954,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-524836.411,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-361813.63,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-439538.698,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-850071.45,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-523830.28,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-654401.544,1.0,7e-05,28.951089999999997,6e-08,7.2e-11,2.0724608296267946e-09,28.784178189261038
-259154.732,1.0,4e-05,16.543480000000002,6e-08,7.2e-11,3.62680645184689e-09,50.37231183120681
-248895.696,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-178250.644,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-1115888.282,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-178250.644,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-641675.222,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-422480.007,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-464756.882,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-515384.103,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-452754.411,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-369357.362,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-307583.732,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-519034.303,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-373052.591,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-366575.984,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-315555.886,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-165385.609,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-970495.397,0.0,8e-05,33.086960000000005,6e-08,7.2e-11,0.0,0.0
-548595.949,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-384398.713,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-384684.934,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-383266.313,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-344347.408,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-746438.096,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-337365.041,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-290763.959,0.5,5e-05,20.67935,6e-08,7.2e-11,1.450722580738756e-09,20.148924732482723
-394894.094,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-623028.751,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-650399.651,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-325507.106,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-344825.179,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-629219.933,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-380145.724,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-265937.406,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-330708.157,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-251768.807,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-445750.094,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-249746.928,6.0,5e-05,20.67935,6e-08,7.2e-11,1.7408670968865076e-08,241.7870967897927
-418084.422,0.5,6e-05,24.81522,6e-08,7.2e-11,1.2089354839489634e-09,16.79077061040227
-267463.179,0.5,4e-05,16.543480000000002,6e-08,7.2e-11,1.813403225923445e-09,25.186155915603404
-644868.063,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
