Lk surface

Theta = 0.00005

Maximum at 4Ner(region) = 0.000 : Lk = -342331.732



4Ner(region)   Pairwise Lk

    0.00  -342331.732
    0.50  -342406.629
    1.00  -342471.007
    1.50  -342507.000
    2.00  -342523.585
    2.50  -342529.116
    3.00  -342529.896
    3.50  -342529.162
    4.00  -342528.962
    4.50  -342530.067
    5.00  -342532.336
    5.50  -342536.302
    6.00  -342541.490
    6.50  -342547.741
    7.00  -342554.970
    7.50  -342562.719
    8.00  -342570.874
    8.50  -342579.330
    9.00  -342587.926
    9.50  -342596.567
   10.00  -342605.027
   10.50  -342613.443
   11.00  -342621.710
   11.50  -342629.984
   12.00  -342638.244
   12.50  -342646.624
   13.00  -342655.077
   13.50  -342663.572
   14.00  -342672.121
   14.50  -342680.723
   15.00  -342689.396
   15.50  -342698.006
   16.00  -342706.552
   16.50  -342715.081
   17.00  -342723.589
   17.50  -342732.110
   18.00  -342740.499
   18.50  -342748.726
   19.00  -342756.847
   19.50  -342764.908
   20.00  -342772.830
   20.50  -342780.596
   21.00  -342788.216
   21.50  -342795.735
   22.00  -342803.152
   22.50  -342810.527
   23.00  -342817.838
   23.50  -342825.078
   24.00  -342832.221
   24.50  -342839.249
   25.00  -342846.175
   25.50  -342853.057
   26.00  -342859.901
   26.50  -342866.682
   27.00  -342873.435
   27.50  -342880.153
   28.00  -342886.828
   28.50  -342893.448
   29.00  -342900.005
   29.50  -342906.518
   30.00  -342912.991
   30.50  -342919.443
   31.00  -342925.851
   31.50  -342932.211
   32.00  -342938.512
   32.50  -342944.730
   33.00  -342950.909
   33.50  -342957.009
   34.00  -342963.042
   34.50  -342969.002
   35.00  -342974.908
   35.50  -342980.748
   36.00  -342986.536
   36.50  -342992.252
   37.00  -342997.916
   37.50  -343003.519
   38.00  -343009.062
   38.50  -343014.551
   39.00  -343019.969
   39.50  -343025.344
   40.00  -343030.658
   40.50  -343035.924
   41.00  -343041.164
   41.50  -343046.372
   42.00  -343051.523
   42.50  -343056.647
   43.00  -343061.708
   43.50  -343066.740
   44.00  -343071.763
   44.50  -343076.742
   45.00  -343081.697
   45.50  -343086.619
   46.00  -343091.527
   46.50  -343096.412
   47.00  -343101.262
   47.50  -343106.077
   48.00  -343110.877
   48.50  -343115.663
   49.00  -343120.426
   49.50  -343125.166
   50.00  -343129.885
   50.50  -343134.589
   51.00  -343139.276
   51.50  -343143.949
   52.00  -343148.593
   52.50  -343153.217
   53.00  -343157.822
   53.50  -343162.393
   54.00  -343166.950
   54.50  -343171.488
   55.00  -343176.006
   55.50  -343180.505
   56.00  -343184.982
   56.50  -343189.441
   57.00  -343193.879
   57.50  -343198.294
   58.00  -343202.691
   58.50  -343207.066
   59.00  -343211.416
   59.50  -343215.744
   60.00  -343220.052
   60.50  -343224.336
   61.00  -343228.599
   61.50  -343232.844
   62.00  -343237.071
   62.50  -343241.283
   63.00  -343245.465
   63.50  -343249.626
   64.00  -343253.761
   64.50  -343257.876
   65.00  -343261.973
   65.50  -343266.044
   66.00  -343270.096
   66.50  -343274.136
   67.00  -343278.155
   67.50  -343282.153
   68.00  -343286.133
   68.50  -343290.101
   69.00  -343294.053
   69.50  -343297.985
   70.00  -343301.912
   70.50  -343305.818
   71.00  -343309.712
   71.50  -343313.586
   72.00  -343317.442
   72.50  -343321.279
   73.00  -343325.095
   73.50  -343328.896
   74.00  -343332.682
   74.50  -343336.448
   75.00  -343340.203
   75.50  -343343.936
   76.00  -343347.652
   76.50  -343351.354
   77.00  -343355.036
   77.50  -343358.702
   78.00  -343362.350
   78.50  -343365.982
   79.00  -343369.596
   79.50  -343373.194
   80.00  -343376.776
   80.50  -343380.335
   81.00  -343383.877
   81.50  -343387.403
   82.00  -343390.914
   82.50  -343394.409
   83.00  -343397.884
   83.50  -343401.339
   84.00  -343404.785
   84.50  -343408.213
   85.00  -343411.627
   85.50  -343415.024
   86.00  -343418.407
   86.50  -343421.776
   87.00  -343425.135
   87.50  -343428.484
   88.00  -343431.819
   88.50  -343435.140
   89.00  -343438.453
   89.50  -343441.758
   90.00  -343445.052
   90.50  -343448.334
   91.00  -343451.597
   91.50  -343454.847
   92.00  -343458.088
   92.50  -343461.322
   93.00  -343464.547
   93.50  -343467.765
   94.00  -343470.973
   94.50  -343474.172
   95.00  -343477.361
   95.50  -343480.537
   96.00  -343483.707
   96.50  -343486.867
   97.00  -343490.014
   97.50  -343493.155
   98.00  -343496.290
   98.50  -343499.418
   99.00  -343502.540
   99.50  -343505.656
  100.00  -343508.758
