lk,rho,theta_perSite,theta,mu,model_recomb,pw_recomb,pw_to_model_ratio
-412515.581,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-302945.895,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-524782.958,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-489859.203,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-628244.232,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-420589.997,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-386817.864,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-467903.806,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-302228.403,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-237708.42,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-921075.854,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-434225.148,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-921075.854,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-403375.182,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-384148.771,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-276635.522,1.0,5e-05,20.67935,6e-08,7.2e-11,2.901445161477512e-09,40.297849464965445
-469341.073,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-313929.893,1.5,5e-05,20.67935,6e-08,7.2e-11,4.352167742216269e-09,60.44677419744818
-705215.093,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-291849.652,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-404584.396,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-238999.986,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-409845.748,1.0,6e-05,24.81522,6e-08,7.2e-11,2.417870967897927e-09,33.58154122080454
-463773.937,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-412990.238,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-566008.012,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-315391.113,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-610376.541,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-328872.412,0.5,6e-05,24.81522,6e-08,7.2e-11,1.2089354839489634e-09,16.79077061040227
-675008.58,0.5,6e-05,24.81522,6e-08,7.2e-11,1.2089354839489634e-09,16.79077061040227
-230021.976,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-328270.307,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-554930.665,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-449611.658,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-342331.732,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-482672.636,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-405147.72,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-194401.411,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-443262.405,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-301374.235,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-535301.976,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-394123.574,0.5,5e-05,20.67935,6e-08,7.2e-11,1.450722580738756e-09,20.148924732482723
-660354.059,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-291029.689,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-160999.206,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-592984.177,0.5,6e-05,24.81522,6e-08,7.2e-11,1.2089354839489634e-09,16.79077061040227
-228915.076,1.5,4e-05,16.543480000000002,6e-08,7.2e-11,5.440209677770335e-09,75.55846774681021
-307313.768,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-265614.171,1.0,4e-05,16.543480000000002,6e-08,7.2e-11,3.62680645184689e-09,50.37231183120681
-740436.662,1.0,7e-05,28.951089999999997,6e-08,7.2e-11,2.0724608296267946e-09,28.784178189261038
-318442.793,5.5,5e-05,20.67935,6e-08,7.2e-11,1.595794838812632e-08,221.63817205731
-253738.711,1.5,5e-05,20.67935,6e-08,7.2e-11,4.352167742216269e-09,60.44677419744818
-357334.233,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-244763.099,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-222690.969,0.0,4e-05,16.543480000000002,6e-08,7.2e-11,0.0,0.0
-528350.601,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-370119.708,3.0,6e-05,24.81522,6e-08,7.2e-11,7.253612903693781e-09,100.74462366241363
-242768.734,2.5,5e-05,20.67935,6e-08,7.2e-11,7.253612903693781e-09,100.74462366241363
-337261.776,0.0,6e-05,24.81522,6e-08,7.2e-11,0.0,0.0
-388746.564,1.5,5e-05,20.67935,6e-08,7.2e-11,4.352167742216269e-09,60.44677419744818
-391803.708,0.0,5e-05,20.67935,6e-08,7.2e-11,0.0,0.0
-278639.05,1.0,4e-05,16.543480000000002,6e-08,7.2e-11,3.62680645184689e-09,50.37231183120681
-607255.861,0.0,7e-05,28.951089999999997,6e-08,7.2e-11,0.0,0.0
-620818.343,2.0,6e-05,24.81522,6e-08,7.2e-11,4.835741935795854e-09,67.16308244160908
